Country,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Norway,414000,389000,397000,470000,370000,388000,402000,415000,405000,410000,409000,420000,400000,410000,390000,420000,420000,420000,415000,400000,410000,425000,340000,370000,345000,400000,425000
Pakistan,52000,163000,302000,88000,80000,1000,13000,31000,13000,1000,1000,11000,1000,1000,12000,501000,1251000,1681000,2030000,2021000,2343000,2757000,1800000,352000,903000,1820000,2470000
Panama,0,0,0,13000,6000,6000,5000,3000,3000,4000,6000,6000,3000,11000,18000,30000,35000,36000,38000,38000,35000,29000,33000,36000,37000,45000,50000
Paraguay,761000,977000,1346000,1471000,1482000,1337000,1430000,1480000,1580000,1680000,1738000,1750000,1000000,3025000,3575000,3450000,3975000,3975000,4025000,3895000,3625000,3425000,2250000,3575000,3100000,3700000,3225000
Peru,31000,65000,76000,108000,23000,27000,40000,52000,98000,102000,102000,82000,97000,166000,267000,302000,292000,312000,322000,337000,352000,277000,292000,232000,222000,252000,282000
Philippines,357000,363000,362000,259000,234000,215000,145000,120000,67000,69000,70000,75000,71000,71000,114000,115000,223000,240000,215000,160000,165000,175000,175000,155000,155000,165000,176000
Russia,369000,353000,385000,402000,370000,518000,630000,780000,1040000,1450000,1955000,2130000,2230000,2340000,3490000,4060000,4550000,4930000,5100000,5250000,5150000,5050000,5510000,6035000,6570000,6955000,7440000
Saudi Arabia,,,,,,,1000,6000,67000,208000,345000,510000,530000,630000,668000,718000,685000,622000,531000,563000,745000,765000,787000,527000,377000,167000,332000
"Serbia, Montenegro, and Kosovo",284000,161000,230000,244000,299000,298000,306000,343000,339000,361000,375000,320000,380000,345000,375000,340000,480000,470000,480000,495000,484000,514000,614000,615000,665000,690000,690000
Singapore,20000,21000,19000,18000,21000,20000,20000,18000,19000,19000,19000,19000,18000,19000,19000,21000,22000,20000,21000,21000,21000,22000,22000,22000,21000,20000,20000
South Africa,218000,236000,204000,172000,172000,234000,336000,350000,286000,367000,403000,455000,626000,858000,1046000,1168000,1012000,1096000,1343000,1536000,1455000,1740000,1922000,2025000,1925000,2225000,2225000
South Korea,1687000,1491000,1555000,1631000,1511000,1400000,1337000,1398000,1375000,1338000,1327000,1329000,1235000,1248000,1348000,1457000,1391000,1340000,1355000,1372000,1415000,1408000,1419000,1391000,1300000,1310000,1310000
Switzerland,108000,66000,61000,48000,52000,59000,43000,43000,40000,27000,27000,26000,23000,21000,18000,18000,14000,18000,17000,17000,15000,19000,20000,17000,18000,20000,20000
